Year,Month,State,Sale_RES,Sale_COM,Sale_IND,Sale_OTH,Sale_ALL,Price_RES,Price_COM,Price_IND,Price_OTH,Price_ALL,Rev_RES,Rev_COM,Rev_IND,Rev_OTH,Rev_ALL,Cus_RES,Cus_COM,Cus_IND,Cus_OTH,Cus_ALL,Heating_deg_days,Cooling_deg_days,Pop,Income,UR,GSP,CPI,Regions,Year-Month,Sale_ALL_no_OTH
1990,1,KY,1772.8,786.61,2764.59,203.71,5527.71,5.32,5.21,3.64,4.47,4.43,94.39,41.02,100.58,9.1,245.08,1480107.0,186216.0,8434.0,17678.0,1692435.0,737.0,9.0,3681.906,57308.7,5.8,67508.0,132.0,East South Central ,1990-01-01,5324.0
1990,1,LA,1808.04,1085.65,1987.99,256.1,5137.77,7.06,7.13,4.48,6.14,6.03,127.58,77.38,89.12,15.72,309.79,1624920.0,188720.0,14488.0,19155.0,1847283.0,356.0,44.0,4206.978,64402.2,5.9,93591.0,132.0,West South Central ,1990-01-01,4881.68
1990,1,MA,1767.55,1698.6,840.36,115.41,4421.93,8.79,7.34,7.03,9.21,7.91,155.45,124.66,59.1,10.62,349.83,2319946.0,287198.0,13880.0,14333.0,2635357.0,980.0,0.0,6001.259,139277.4,5.1,158903.0,132.0,New England ,1990-01-01,4306.51
1990,1,MD,2333.68,966.27,1662.86,61.66,5024.47,5.9,5.39,4.18,7.21,5.25,137.74,52.08,69.58,4.45,263.85,1731972.0,182923.0,10648.0,1182.0,1926725.0,758.0,0.0,4783.558,110704.7,3.7,113723.0,132.0,South Atlantic ,1990-01-01,4962.8099999999995
1990,1,ME,440.12,248.91,391.66,15.18,1095.86,9.09,8.74,6.86,9.86,8.22,39.99,21.75,26.87,1.5,90.11,568073.0,67236.0,2845.0,18854.0,657008.0,1221.0,0.0,1227.735,21905.7,4.5,23343.0,132.0,New England ,1990-01-01,1080.69
1990,1,MI,2623.66,1785.5,2689.46,128.0,7226.62,7.63,7.89,5.76,8.72,7.02,200.23,140.83,154.91,11.16,507.13,3661732.0,384526.0,14653.0,17310.0,4078221.0,1052.0,0.0,9283.538,176975.4,7.8,189748.0,132.0,East North Central ,1990-01-01,7098.62
1990,1,MN,1542.33,726.18,2073.34,64.95,4406.81,6.24,5.49,3.82,5.98,4.98,96.3,39.83,79.28,3.89,219.31,1755161.0,196379.0,9581.0,24301.0,1985422.0,1335.0,0.0,4374.596,87584.8,4.6,100327.0,132.0,West North Central ,1990-01-01,4341.85
1990,1,MO,2161.98,1544.92,1053.16,71.52,4831.58,6.34,5.92,4.7,6.58,5.85,136.96,91.4,49.55,4.71,282.62,2143649.0,255089.0,10372.0,14382.0,2423492.0,813.0,0.0,5111.5459999999985,91682.6,5.6,104097.0,132.0,West North Central ,1990-01-01,4760.06
1990,1,MS,1150.32,516.2,956.43,53.68,2676.62,6.35,7.15,4.48,7.82,5.87,73.09,36.91,42.89,4.2,157.09,998320.0,144114.0,5841.0,15789.0,1164064.0,478.0,24.0,2569.973,34288.6,7.6,38768.0,132.0,East South Central ,1990-01-01,2622.95
1990,1,MT,387.98,240.24,550.04,45.31,1223.55,5.8,4.87,3.02,3.68,4.29,22.48,11.69,16.63,1.66,52.46,342822.0,56633.0,3215.0,10174.0,412844.0,1206.0,1.0,797.5110000000002,12314.5,5.4,13417.0,132.0,Mountain ,1990-01-01,1178.26
1990,1,NC,3963.43,2084.73,2341.43,162.37,8551.96,7.32,6.29,4.67,6.61,6.33,290.3,131.09,109.36,10.73,541.48,2801451.0,388208.0,14687.0,28086.0,3232432.0,581.0,10.0,6637.736,1.47,3.4,140272.0,132.0,South Atlantic ,1990-01-01,8389.59
1990,1,ND,374.45,182.77,154.54,41.94,753.7,5.6,6.0,4.71,3.35,5.39,20.99,10.97,7.28,1.4,40.64,262529.0,45370.0,2430.0,5038.0,315367.0,1354.0,0.0,635.521,10224.9,4.1,11480.0,132.0,West North Central ,1990-01-01,711.76
1990,1,NE,648.87,430.05,339.44,88.89,1507.24,5.68,5.73,4.36,5.8,5.4,36.88,24.64,14.79,5.15,81.46,649256.0,104898.0,5458.0,39855.0,799467.0,1009.0,0.0,1576.0929999999996,29184.6,2.5,33776.0,132.0,West North Central ,1990-01-01,1418.36
1990,1,NH,396.5,190.28,295.25,13.23,895.26,10.09,9.17,7.63,8.74,9.07,40.02,17.45,22.53,1.16,81.16,485545.0,72114.0,1627.0,5107.0,564393.0,1176.0,0.0,1108.616,23048.3,4.8,23784.0,132.0,New England ,1990-01-01,882.03
1990,1,NJ,1959.96,2255.65,1167.49,46.62,5429.73,9.44,8.33,7.08,14.28,8.52,185.06,187.99,82.69,6.66,462.4,2898533.0,386093.0,12124.0,9109.0,3305859.0,855.0,0.0,7734.726,191850.9,4.5,214845.0,132.0,Middle Atlantic ,1990-01-01,5383.1
1990,1,NM,367.43,359.43,363.04,106.11,1196.0,8.43,7.75,5.02,5.69,6.95,30.99,27.86,18.23,6.04,83.12,575602.0,84555.0,4964.0,10041.0,675162.0,958.0,0.0,1515.5379999999998,23069.1,6.6,26871.0,132.0,Mountain ,1990-01-01,1089.9
1990,1,NV,488.22,291.88,484.48,36.99,1301.57,5.77,6.11,4.03,4.25,5.16,28.19,17.85,19.53,1.57,67.15,487491.0,72146.0,785.0,1693.0,562115.0,748.0,0.0,1215.105,24821.0,4.5,31820.0,132.0,Mountain ,1990-01-01,1264.58
1990,1,NY,3944.89,4094.62,2606.78,1069.75,11716.04,10.71,9.58,5.13,6.94,8.73,422.65,392.12,133.68,74.28,1022.73,6265737.0,818952.0,11874.0,29853.0,7126416.0,949.0,0.0,17950.795,432177.2,5.2,503608.0,132.0,Middle Atlantic ,1990-01-01,10646.29
1990,1,OH,4121.14,2557.71,5635.32,349.54,12663.72,6.95,6.89,3.98,6.01,5.59,286.5,176.22,224.28,21.01,708.01,4211924.0,453321.0,31255.0,18736.0,4715236.0,899.0,0.0,10830.427,203214.9,5.8,228343.0,132.0,East North Central ,1990-01-01,12314.169999999998
1990,1,OK,1510.02,936.09,897.9,158.8,3502.81,5.61,5.13,3.41,4.66,4.87,84.7,48.03,30.62,7.4,170.75,1507884.0,222492.0,14877.0,12822.0,1758075.0,657.0,3.0,3138.004000000001,50841.8,5.5,57709.0,132.0,West South Central ,1990-01-01,3344.01
1990,1,OR,1786.28,984.86,1223.5,47.47,4042.11,4.62,4.86,3.3,5.53,4.29,82.59,47.83,40.42,2.62,173.46,1173617.0,166965.0,6922.0,9988.0,1357492.0,789.0,0.0,2850.281,51780.3,5.2,57275.0,132.0,Pacific Contiguous ,1990-01-01,3994.64
1990,1,PA,4570.03,2815.19,3832.79,142.69,11360.7,8.33,7.53,5.85,9.9,7.32,380.61,212.02,224.28,14.12,831.04,4635946.0,527747.0,29805.0,7995.0,5201493.0,912.0,0.0,11861.205,232129.6,5.1,248307.0,132.0,Middle Atlantic ,1990-01-01,11218.01
1990,1,RI,263.57,231.49,116.31,17.9,629.25,8.72,7.93,7.46,7.26,8.16,22.98,18.37,8.67,1.3,51.32,386421.0,44944.0,2578.0,945.0,434888.0,927.0,0.0,1001.744,20482.8,5.3,21537.0,132.0,New England ,1990-01-01,611.37
1990,1,SC,2074.39,997.62,1929.39,62.36,5063.76,6.85,6.05,3.95,5.42,5.57,142.1,60.32,76.26,3.38,282.07,1421991.0,204997.0,4418.0,14901.0,1646307.0,479.0,21.0,3488.945,56295.3,4.7,65710.0,132.0,South Atlantic ,1990-01-01,5001.4
1990,1,SD,315.94,126.26,136.32,31.07,609.59,6.39,6.39,4.65,3.33,5.85,20.19,8.07,6.34,1.03,35.64,282794.0,41204.0,2065.0,8549.0,334612.0,1123.0,0.0,694.6519999999998,11430.9,3.9,12825.0,132.0,West North Central ,1990-01-01,578.52
1990,1,TN,3576.06,1054.46,2911.97,80.88,7623.38,5.68,6.06,4.82,6.77,5.42,203.25,63.94,140.4,5.47,413.06,1990131.0,282191.0,16475.0,31871.0,2320668.0,666.0,10.0,4876.483,81265.6,5.0,94553.0,132.0,East South Central ,1990-01-01,7542.49
1990,1,TX,7791.23,5054.85,6422.22,595.55,19863.85,6.26,6.05,4.19,6.32,5.54,487.79,306.05,269.19,37.62,1100.65,6497003.0,863765.0,60592.0,91556.0,7512916.0,382.0,30.0,16995.424,296204.4,6.3,384136.0,132.0,West South Central ,1990-01-01,19268.300000000003
1990,1,UT,374.24,345.75,439.34,65.34,1224.67,7.02,6.34,3.75,4.08,5.5,26.25,21.92,16.49,2.66,67.32,564148.0,59203.0,7606.0,3641.0,634598.0,1166.0,0.0,1724.72,25793.3,4.5,31444.0,132.0,Mountain ,1990-01-01,1159.33
1990,1,VA,3294.27,1632.52,1198.65,640.43,6765.87,6.35,6.01,4.49,5.41,5.85,209.21,98.13,53.84,34.62,395.8,2329007.0,252756.0,4946.0,35405.0,2622114.0,711.0,4.0,6195.558000000001,129185.8,3.9,147026.0,132.0,South Atlantic ,1990-01-01,6125.4400000000005
