Regions,Year-Month,STEO_Sale_COM,STEO_Sale_IND,STEO_Sale_RES,STEO_Sale_All,Year,Month,STEO_Sale_ALL_no_OTH
Pacific Noncontiguous,2018-04-01,480.0,390.0,390.0,1230.0,2018,4,1260.0
South Atlantic,2018-04-01,23280.0,11040.0,23880.0,58290.0,2018,4,58200.0
West North Central,2018-04-01,7890.0,6990.0,7410.0,22320.0,2018,4,22290.0
West South Central,2018-04-01,14550.0,14460.0,13080.0,42090.0,2018,4,42090.0
East North Central,2018-05-01,15531.0,16182.0,13795.0,45570.0,2018,5,45508.0
East South Central,2018-05-01,7688.0,8060.0,8494.0,24242.0,2018,5,24242.0
Middle Atlantic,2018-05-01,12245.0,6014.0,9083.0,27652.0,2018,5,27342.0
Mountain,2018-05-01,8184.0,7006.0,7533.0,22723.0,2018,5,22723.0
New England,2018-05-01,4061.0,1395.0,3162.0,8649.0,2018,5,8618.0
Pacific Contiguous,2018-05-01,12493.0,7068.0,10354.0,29946.0,2018,5,29915.0
Pacific Noncontiguous,2018-05-01,465.0,403.0,372.0,1240.0,2018,5,1240.0
South Atlantic,2018-05-01,26660.0,12307.0,26474.0,65534.0,2018,5,65441.0
West North Central,2018-05-01,8618.0,7502.0,7688.0,23808.0,2018,5,23808.0
West South Central,2018-05-01,16647.0,15562.0,16430.0,48639.0,2018,5,48639.0
East North Central,2018-06-01,16200.0,16200.0,16740.0,49200.0,2018,6,49140.0
East South Central,2018-06-01,8580.0,7980.0,11130.0,27720.0,2018,6,27690.0
Middle Atlantic,2018-06-01,13230.0,5850.0,10770.0,30150.0,2018,6,29850.0
Mountain,2018-06-01,8820.0,7350.0,9810.0,26010.0,2018,6,25980.0
New England,2018-06-01,4380.0,1320.0,3540.0,9270.0,2018,6,9240.0
Pacific Contiguous,2018-06-01,13380.0,7530.0,10470.0,31440.0,2018,6,31380.0
Pacific Noncontiguous,2018-06-01,450.0,420.0,360.0,1230.0,2018,6,1230.0
South Atlantic,2018-06-01,28500.0,11970.0,33330.0,73920.0,2018,6,73800.0
West North Central,2018-06-01,9180.0,7470.0,9810.0,26490.0,2018,6,26460.0
West South Central,2018-06-01,18810.0,15480.0,23460.0,57780.0,2018,6,57750.0
East North Central,2018-07-01,17453.0,16182.0,20305.0,53971.0,2018,7,53940.0
East South Central,2018-07-01,9145.0,8277.0,12741.0,30163.0,2018,7,30163.0
Middle Atlantic,2018-07-01,14787.0,6448.0,14260.0,35805.0,2018,7,35495.0
Mountain,2018-07-01,9765.0,7998.0,12152.0,29946.0,2018,7,29915.0
New England,2018-07-01,4960.0,1395.0,4929.0,11315.0,2018,7,11284.0
Pacific Contiguous,2018-07-01,14787.0,7998.0,13795.0,36642.0,2018,7,36580.0
Pacific Noncontiguous,2018-07-01,496.0,434.0,372.0,1302.0,2018,7,1302.0
South Atlantic,2018-07-01,29946.0,12524.0,37789.0,80383.0,2018,7,80259.0
West North Central,2018-07-01,9734.0,7905.0,10757.0,28427.0,2018,7,28396.0
West South Central,2018-07-01,19871.0,15872.0,25947.0,61690.0,2018,7,61690.0
East North Central,2018-08-01,17856.0,17174.0,19499.0,54560.0,2018,8,54529.0
East South Central,2018-08-01,9238.0,9920.0,12338.0,31496.0,2018,8,31496.0
Middle Atlantic,2018-08-01,15190.0,6727.0,14632.0,36890.0,2018,8,36549.0
Mountain,2018-08-01,9827.0,7874.0,11656.0,29388.0,2018,8,29357.0
New England,2018-08-01,5177.0,1550.0,5053.0,11873.0,2018,8,11780.0
Pacific Contiguous,2018-08-01,16275.0,8494.0,16244.0,41075.0,2018,8,41013.0
Pacific Noncontiguous,2018-08-01,496.0,434.0,403.0,1333.0,2018,8,1333.0
South Atlantic,2018-08-01,30380.0,12710.0,37107.0,80321.0,2018,8,80197.0
West North Central,2018-08-01,9858.0,8215.0,10230.0,28334.0,2018,8,28303.0
West South Central,2018-08-01,20150.0,16492.0,25792.0,62465.0,2018,8,62434.0
East North Central,2018-09-01,15840.0,15420.0,15720.0,47040.0,2018,9,46980.0
East South Central,2018-09-01,8820.0,8160.0,11400.0,28350.0,2018,9,28380.0
Middle Atlantic,2018-09-01,14130.0,6510.0,12720.0,33690.0,2018,9,33360.0
Mountain,2018-09-01,8820.0,7230.0,9330.0,25380.0,2018,9,25380.0
New England,2018-09-01,4500.0,1350.0,4080.0,9990.0,2018,9,9930.0
Pacific Contiguous,2018-09-01,12360.0,7260.0,10350.0,30060.0,2018,9,29970.0
Pacific Noncontiguous,2018-09-01,480.0,420.0,390.0,1260.0,2018,9,1290.0
South Atlantic,2018-09-01,29370.0,11910.0,34050.0,75420.0,2018,9,75330.0
West North Central,2018-09-01,8700.0,7500.0,8250.0,24420.0,2018,9,24450.0
West South Central,2018-09-01,18600.0,15480.0,22170.0,56250.0,2018,9,56250.0
East North Central,2018-10-01,15376.0,15562.0,13113.0,44113.0,2018,10,44051.0
East South Central,2018-10-01,7998.0,8308.0,9021.0,25296.0,2018,10,25327.0
Middle Atlantic,2018-10-01,12958.0,5921.0,9672.0,28861.0,2018,10,28551.0
Mountain,2018-10-01,7998.0,6758.0,6727.0,21483.0,2018,10,21483.0
New England,2018-10-01,4216.0,1395.0,3286.0,8990.0,2018,10,8897.0
Pacific Contiguous,2018-10-01,14260.0,7564.0,11098.0,32984.0,2018,10,32922.0
Pacific Noncontiguous,2018-10-01,496.0,434.0,403.0,1333.0,2018,10,1333.0
South Atlantic,2018-10-01,26443.0,11966.0,28613.0,67146.0,2018,10,67022.0
West North Central,2018-10-01,8308.0,7440.0,7068.0,22847.0,2018,10,22816.0
West South Central,2018-10-01,17825.0,15686.0,17639.0,51150.0,2018,10,51150.0
East North Central,2018-11-01,14190.0,14940.0,14550.0,43710.0,2018,11,43680.0
East South Central,2018-11-01,6990.0,7890.0,8550.0,23400.0,2018,11,23430.0
Middle Atlantic,2018-11-01,12000.0,5730.0,9690.0,27720.0,2018,11,27420.0
Mountain,2018-11-01,7410.0,6690.0,6690.0,20820.0,2018,11,20790.0
New England,2018-11-01,4050.0,1290.0,3660.0,9060.0,2018,11,9000.0
Pacific Contiguous,2018-11-01,11850.0,6810.0,10590.0,29310.0,2018,11,29250.0
Pacific Noncontiguous,2018-11-01,480.0,420.0,390.0,1290.0,2018,11,1290.0
South Atlantic,2018-11-01,24630.0,11280.0,26820.0,62850.0,2018,11,62730.0
West North Central,2018-11-01,8190.0,7320.0,8100.0,23610.0,2018,11,23610.0
West South Central,2018-11-01,14850.0,14580.0,14370.0,43800.0,2018,11,43800.0
East North Central,2018-12-01,14942.0,14849.0,16740.0,46593.0,2018,12,46531.0
East South Central,2018-12-01,7099.0,7812.0,10664.0,25575.0,2018,12,25575.0
Middle Atlantic,2018-12-01,12772.0,6324.0,11687.0,31124.0,2018,12,30783.0
Mountain,2018-12-01,7750.0,6727.0,8184.0,22661.0,2018,12,22661.0
New England,2018-12-01,4185.0,1302.0,4123.0,9641.0,2018,12,9610.0
Pacific Contiguous,2018-12-01,12803.0,6417.0,12958.0,32271.0,2018,12,32178.0
Pacific Noncontiguous,2018-12-01,465.0,403.0,403.0,1302.0,2018,12,1271.0
South Atlantic,2018-12-01,24211.0,10788.0,30938.0,66030.0,2018,12,65937.0
West North Central,2018-12-01,8525.0,7192.0,9827.0,25544.0,2018,12,25544.0
West South Central,2018-12-01,14880.0,14415.0,17081.0,46407.0,2018,12,46376.0
East North Central,2019-01-01,15531.0,15314.0,18383.0,49290.0,2019,1,49228.0
East South Central,2019-01-01,7316.0,8029.0,11408.0,26753.0,2019,1,26753.0
Middle Atlantic,2019-01-01,13361.0,6045.0,12648.0,32364.0,2019,1,32054.0
Mountain,2019-01-01,7812.0,6572.0,8432.0,22847.0,2019,1,22816.0
New England,2019-01-01,4495.0,1302.0,4526.0,10385.0,2019,1,10323.0
Pacific Contiguous,2019-01-01,13175.0,6603.0,14384.0,34224.0,2019,1,34162.0
Pacific Noncontiguous,2019-01-01,496.0,372.0,434.0,1302.0,2019,1,1302.0
South Atlantic,2019-01-01,25327.0,11439.0,32922.0,69781.0,2019,1,69688.0
West North Central,2019-01-01,8835.0,7285.0,10757.0,26877.0,2019,1,26877.0
West South Central,2019-01-01,15283.0,15066.0,19065.0,49445.0,2019,1,49414.0
East North Central,2019-02-01,14028.0,14196.0,15932.0,44212.0,2019,2,44156.0
East South Central,2019-02-01,6776.0,7504.0,9968.0,24248.0,2019,2,24248.0
Middle Atlantic,2019-02-01,12628.0,5768.0,11592.0,30324.0,2019,2,29988.0
Mountain,2019-02-01,7252.0,6076.0,7560.0,20916.0,2019,2,20888.0
New England,2019-02-01,4004.0,1120.0,3948.0,9128.0,2019,2,9072.0
Pacific Contiguous,2019-02-01,11816.0,6020.0,12180.0,30100.0,2019,2,30016.0
Pacific Noncontiguous,2019-02-01,448.0,336.0,364.0,1148.0,2019,2,1148.0
South Atlantic,2019-02-01,22400.0,10248.0,28140.0,60900.0,2019,2,60788.0
West North Central,2019-02-01,8288.0,6692.0,9940.0,24920.0,2019,2,24920.0
West South Central,2019-02-01,15064.0,14392.0,16716.0,46200.0,2019,2,46172.0
East North Central,2019-03-01,14973.0,15562.0,15066.0,45632.0,2019,3,45601.0
East South Central,2019-03-01,6851.0,7843.0,8525.0,23219.0,2019,3,23219.0
Middle Atlantic,2019-03-01,12617.0,5859.0,10974.0,29791.0,2019,3,29450.0
Mountain,2019-03-01,7657.0,6417.0,7068.0,21173.0,2019,3,21142.0
New England,2019-03-01,4061.0,1271.0,3937.0,9331.0,2019,3,9269.0
Pacific Contiguous,2019-03-01,13485.0,6572.0,13330.0,33449.0,2019,3,33387.0
Pacific Noncontiguous,2019-03-01,465.0,403.0,403.0,1271.0,2019,3,1271.0
South Atlantic,2019-03-01,24614.0,11439.0,27094.0,63271.0,2019,3,63147.0
West North Central,2019-03-01,8556.0,7316.0,8990.0,24862.0,2019,3,24862.0
West South Central,2019-03-01,14787.0,14136.0,14415.0,43338.0,2019,3,43338.0
East North Central,2019-04-01,13560.0,14700.0,12150.0,40470.0,2019,4,40410.0
East South Central,2019-04-01,6930.0,7800.0,7590.0,22320.0,2019,4,22320.0
Middle Atlantic,2019-04-01,11730.0,5790.0,8820.0,26670.0,2019,4,26340.0
Mountain,2019-04-01,7530.0,6570.0,6480.0,20580.0,2019,4,20580.0
New England,2019-04-01,3900.0,1290.0,3360.0,8580.0,2019,4,8550.0
Pacific Contiguous,2019-04-01,12780.0,6510.0,9780.0,29130.0,2019,4,29070.0
Pacific Noncontiguous,2019-04-01,480.0,390.0,360.0,1230.0,2019,4,1230.0
South Atlantic,2019-04-01,23730.0,11010.0,23430.0,58260.0,2019,4,58170.0
West North Central,2019-04-01,7710.0,7080.0,6960.0,21750.0,2019,4,21750.0
West South Central,2019-04-01,14790.0,14400.0,13620.0,42840.0,2019,4,42810.0
East North Central,2019-05-01,14973.0,16182.0,12214.0,43431.0,2019,5,43369.0
East South Central,2019-05-01,7502.0,8153.0,7657.0,23281.0,2019,5,23312.0
Middle Atlantic,2019-05-01,11873.0,6014.0,8463.0,26660.0,2019,5,26350.0
Mountain,2019-05-01,8215.0,7099.0,7502.0,22816.0,2019,5,22816.0
New England,2019-05-01,3999.0,1395.0,3038.0,8463.0,2019,5,8432.0
Pacific Contiguous,2019-05-01,12586.0,7130.0,10292.0,30070.0,2019,5,30008.0
Pacific Noncontiguous,2019-05-01,465.0,403.0,341.0,1209.0,2019,5,1209.0
South Atlantic,2019-05-01,26350.0,12090.0,25079.0,63643.0,2019,5,63519.0
West North Central,2019-05-01,8246.0,7626.0,6603.0,22475.0,2019,5,22475.0
West South Central,2019-05-01,16151.0,15624.0,15438.0,47244.0,2019,5,47213.0
East North Central,2019-06-01,15870.0,16140.0,15750.0,47790.0,2019,6,47760.0
East South Central,2019-06-01,8310.0,8040.0,10080.0,26430.0,2019,6,26430.0
Middle Atlantic,2019-06-01,13260.0,5820.0,10950.0,30330.0,2019,6,30030.0
Mountain,2019-06-01,8640.0,7440.0,9480.0,25590.0,2019,6,25560.0
New England,2019-06-01,4470.0,1290.0,3720.0,9510.0,2019,6,9480.0
Pacific Contiguous,2019-06-01,13410.0,7590.0,10470.0,31560.0,2019,6,31470.0
Pacific Noncontiguous,2019-06-01,450.0,420.0,360.0,1230.0,2019,6,1230.0
South Atlantic,2019-06-01,27990.0,11730.0,32250.0,72090.0,2019,6,71970.0
West North Central,2019-06-01,8820.0,7560.0,8550.0,24930.0,2019,6,24930.0
West South Central,2019-06-01,17910.0,15570.0,20460.0,53970.0,2019,6,53940.0
East North Central,2019-07-01,17391.0,16120.0,19871.0,53444.0,2019,7,53382.0
East South Central,2019-07-01,9083.0,8308.0,12090.0,29481.0,2019,7,29481.0
Middle Atlantic,2019-07-01,14570.0,6448.0,14074.0,35402.0,2019,7,35092.0
Mountain,2019-07-01,9610.0,8091.0,11656.0,29357.0,2019,7,29357.0
New England,2019-07-01,4774.0,1364.0,4681.0,10881.0,2019,7,10819.0
Pacific Contiguous,2019-07-01,14477.0,7998.0,12865.0,35433.0,2019,7,35340.0
Pacific Noncontiguous,2019-07-01,496.0,434.0,372.0,1302.0,2019,7,1302.0
South Atlantic,2019-07-01,30132.0,12276.0,38006.0,80538.0,2019,7,80414.0
West North Central,2019-07-01,9796.0,8029.0,10416.0,28241.0,2019,7,28241.0
West South Central,2019-07-01,19406.0,16027.0,23746.0,59210.0,2019,7,59179.0
East North Central,2019-08-01,17422.0,17050.0,18228.0,52731.0,2019,8,52700.0
East South Central,2019-08-01,9300.0,9858.0,12245.0,31434.0,2019,8,31403.0
Middle Atlantic,2019-08-01,14446.0,6727.0,13175.0,34658.0,2019,8,34348.0
Mountain,2019-08-01,9889.0,7998.0,11563.0,29450.0,2019,8,29450.0
New England,2019-08-01,4836.0,1550.0,4402.0,10819.0,2019,8,10788.0
Pacific Contiguous,2019-08-01,15810.0,8432.0,15004.0,39308.0,2019,8,39246.0
Pacific Noncontiguous,2019-08-01,496.0,434.0,403.0,1333.0,2019,8,1333.0
South Atlantic,2019-08-01,30287.0,12431.0,37107.0,79980.0,2019,8,79825.0
West North Central,2019-08-01,9951.0,8339.0,10323.0,28613.0,2019,8,28613.0
West South Central,2019-08-01,20274.0,16709.0,25296.0,62279.0,2019,8,62279.0
East North Central,2019-09-01,15390.0,15360.0,14490.0,45300.0,2019,9,45240.0
East South Central,2019-09-01,8430.0,8100.0,10560.0,27060.0,2019,9,27090.0
Middle Atlantic,2019-09-01,13440.0,6480.0,11400.0,31620.0,2019,9,31320.0
Mountain,2019-09-01,8670.0,7440.0,9000.0,25110.0,2019,9,25110.0
New England,2019-09-01,4410.0,1320.0,3840.0,9600.0,2019,9,9570.0
Pacific Contiguous,2019-09-01,12270.0,7290.0,10050.0,29670.0,2019,9,29610.0
Pacific Noncontiguous,2019-09-01,450.0,420.0,390.0,1260.0,2019,9,1260.0
South Atlantic,2019-09-01,27720.0,11640.0,30450.0,69930.0,2019,9,69810.0
West North Central,2019-09-01,8610.0,7590.0,8010.0,24210.0,2019,9,24210.0
West South Central,2019-09-01,18720.0,15660.0,21960.0,56370.0,2019,9,56340.0
East North Central,2019-10-01,15345.0,15500.0,12927.0,43803.0,2019,10,43772.0
East South Central,2019-10-01,7812.0,8246.0,8401.0,24459.0,2019,10,24459.0
Middle Atlantic,2019-10-01,12741.0,5921.0,9424.0,28396.0,2019,10,28086.0
Mountain,2019-10-01,8122.0,6882.0,6789.0,21762.0,2019,10,21793.0
New England,2019-10-01,4216.0,1364.0,3286.0,8897.0,2019,10,8866.0
Pacific Contiguous,2019-10-01,14260.0,7595.0,11036.0,32953.0,2019,10,32891.0
Pacific Noncontiguous,2019-10-01,496.0,434.0,403.0,1302.0,2019,10,1333.0
South Atlantic,2019-10-01,25823.0,11749.0,26753.0,64449.0,2019,10,64325.0
West North Central,2019-10-01,8339.0,7564.0,6975.0,22847.0,2019,10,22878.0
West South Central,2019-10-01,18042.0,15903.0,17577.0,51522.0,2019,10,51522.0
East North Central,2019-11-01,13920.0,14820.0,13680.0,42480.0,2019,11,42420.0
East South Central,2019-11-01,6870.0,7800.0,7980.0,22650.0,2019,11,22650.0
Middle Atlantic,2019-11-01,11820.0,5730.0,9390.0,27210.0,2019,11,26940.0
Mountain,2019-11-01,7500.0,6810.0,6750.0,21060.0,2019,11,21060.0
New England,2019-11-01,3990.0,1290.0,3540.0,8850.0,2019,11,8820.0
Pacific Contiguous,2019-11-01,11880.0,6810.0,10740.0,29520.0,2019,11,29430.0
Pacific Noncontiguous,2019-11-01,480.0,420.0,390.0,1260.0,2019,11,1290.0
South Atlantic,2019-11-01,23970.0,11040.0,25290.0,60390.0,2019,11,60300.0
West North Central,2019-11-01,8070.0,7440.0,7560.0,23070.0,2019,11,23070.0
West South Central,2019-11-01,14880.0,14700.0,13830.0,43440.0,2019,11,43410.0
East North Central,2019-12-01,15128.0,14632.0,16833.0,46624.0,2019,12,46593.0
East South Central,2019-12-01,7130.0,7688.0,10385.0,25234.0,2019,12,25203.0
Middle Atlantic,2019-12-01,12617.0,6293.0,11563.0,30783.0,2019,12,30473.0
Mountain,2019-12-01,7843.0,6820.0,8308.0,22971.0,2019,12,22971.0
New England,2019-12-01,4092.0,1302.0,4030.0,9486.0,2019,12,9424.0
Pacific Contiguous,2019-12-01,12803.0,6386.0,13237.0,32488.0,2019,12,32426.0
Pacific Noncontiguous,2019-12-01,465.0,403.0,403.0,1271.0,2019,12,1271.0
South Atlantic,2019-12-01,24521.0,10478.0,30659.0,65782.0,2019,12,65658.0
West North Central,2019-12-01,8680.0,7254.0,9951.0,25885.0,2019,12,25885.0
West South Central,2019-12-01,15190.0,14446.0,17050.0,46686.0,2019,12,46686.0
East North Central,2020-01-01,15469.0,15252.0,18290.0,49073.0,2020,1,49011.0
East South Central,2020-01-01,7409.0,7936.0,12028.0,27342.0,2020,1,27373.0
Middle Atlantic,2020-01-01,13237.0,6014.0,12710.0,32271.0,2020,1,31961.0
Mountain,2020-01-01,7874.0,6665.0,8556.0,23095.0,2020,1,23095.0
New England,2020-01-01,4433.0,1302.0,4557.0,10323.0,2020,1,10292.0
Pacific Contiguous,2020-01-01,13206.0,6603.0,14663.0,34534.0,2020,1,34472.0
Pacific Noncontiguous,2020-01-01,496.0,372.0,434.0,1302.0,2020,1,1302.0
South Atlantic,2020-01-01,25482.0,11160.0,34410.0,71176.0,2020,1,71052.0
West North Central,2020-01-01,8835.0,7409.0,10881.0,27125.0,2020,1,27125.0
West South Central,2020-01-01,15655.0,15221.0,19623.0,50499.0,2020,1,50499.0
East North Central,2020-02-01,14500.0,14674.0,16269.0,45501.0,2020,2,45443.0
East South Central,2020-02-01,7163.0,7685.0,11223.0,26042.0,2020,2,26071.0
Middle Atlantic,2020-02-01,12934.0,5974.0,12035.0,31291.0,2020,2,30943.0
Mountain,2020-02-01,7511.0,6380.0,7627.0,21547.0,2020,2,21518.0
New England,2020-02-01,4060.0,1131.0,4118.0,9367.0,2020,2,9309.0
Pacific Contiguous,2020-02-01,12122.0,6235.0,11977.0,30421.0,2020,2,30334.0
Pacific Noncontiguous,2020-02-01,435.0,348.0,377.0,1160.0,2020,2,1160.0
South Atlantic,2020-02-01,23374.0,10440.0,30595.0,64496.0,2020,2,64409.0
West North Central,2020-02-01,8439.0,7076.0,9628.0,25143.0,2020,2,25143.0
West South Central,2020-02-01,15979.0,15167.0,17719.0,48894.0,2020,2,48865.0
East North Central,2020-03-01,14818.0,15500.0,14601.0,44950.0,2020,3,44919.0
East South Central,2020-03-01,6882.0,7719.0,8742.0,23374.0,2020,3,23343.0
Middle Atlantic,2020-03-01,12493.0,5859.0,10881.0,29543.0,2020,3,29233.0
Mountain,2020-03-01,7781.0,6510.0,6975.0,21266.0,2020,3,21266.0
New England,2020-03-01,3968.0,1240.0,3906.0,9176.0,2020,3,9114.0
Pacific Contiguous,2020-03-01,13640.0,6572.0,12741.0,33046.0,2020,3,32953.0
Pacific Noncontiguous,2020-03-01,465.0,403.0,403.0,1271.0,2020,3,1271.0
South Atlantic,2020-03-01,24242.0,11222.0,27404.0,62992.0,2020,3,62868.0
West North Central,2020-03-01,8525.0,7471.0,8463.0,24459.0,2020,3,24459.0
West South Central,2020-03-01,15035.0,14415.0,14415.0,43865.0,2020,3,43865.0
East North Central,2020-04-01,13620.0,14610.0,12180.0,40470.0,2020,4,40410.0
East South Central,2020-04-01,6960.0,7680.0,7440.0,22080.0,2020,4,22080.0
Middle Atlantic,2020-04-01,11640.0,5790.0,9000.0,26730.0,2020,4,26430.0
Mountain,2020-04-01,7620.0,6660.0,6600.0,20850.0,2020,4,20880.0
New England,2020-04-01,3780.0,1260.0,3390.0,8490.0,2020,4,8430.0
Pacific Contiguous,2020-04-01,12930.0,6510.0,9990.0,29520.0,2020,4,29430.0
Pacific Noncontiguous,2020-04-01,450.0,390.0,360.0,1230.0,2020,4,1200.0
South Atlantic,2020-04-01,23550.0,10770.0,22890.0,57330.0,2020,4,57210.0
West North Central,2020-04-01,7770.0,7200.0,6930.0,21900.0,2020,4,21900.0
West South Central,2020-04-01,14880.0,14610.0,13290.0,42810.0,2020,4,42780.0
East North Central,2020-05-01,15004.0,16027.0,12369.0,43462.0,2020,5,43400.0
East South Central,2020-05-01,7564.0,7998.0,7750.0,23312.0,2020,5,23312.0
Middle Atlantic,2020-05-01,11811.0,6014.0,8680.0,26784.0,2020,5,26505.0
Mountain,2020-05-01,8277.0,7161.0,7657.0,23095.0,2020,5,23095.0
New England,2020-05-01,3875.0,1364.0,3100.0,8401.0,2020,5,8339.0
Pacific Contiguous,2020-05-01,12524.0,7161.0,10509.0,30256.0,2020,5,30194.0
Pacific Noncontiguous,2020-05-01,465.0,403.0,341.0,1209.0,2020,5,1209.0
South Atlantic,2020-05-01,26257.0,11842.0,25172.0,63364.0,2020,5,63271.0
West North Central,2020-05-01,8308.0,7719.0,6696.0,22754.0,2020,5,22723.0
West South Central,2020-05-01,16523.0,15841.0,15655.0,48019.0,2020,5,48019.0
East North Central,2020-06-01,15930.0,15960.0,15930.0,47880.0,2020,6,47820.0
East South Central,2020-06-01,8400.0,7890.0,10260.0,26550.0,2020,6,26550.0
Middle Atlantic,2020-06-01,13140.0,5790.0,10920.0,30150.0,2020,6,29850.0
Mountain,2020-06-01,8730.0,7500.0,9600.0,25830.0,2020,6,25830.0
New England,2020-06-01,4290.0,1290.0,3720.0,9330.0,2020,6,9300.0
Pacific Contiguous,2020-06-01,13410.0,7620.0,10530.0,31650.0,2020,6,31560.0
Pacific Noncontiguous,2020-06-01,450.0,420.0,360.0,1230.0,2020,6,1230.0
South Atlantic,2020-06-01,28080.0,11490.0,32580.0,72270.0,2020,6,72150.0
West North Central,2020-06-01,8910.0,7650.0,8730.0,25320.0,2020,6,25290.0
West South Central,2020-06-01,18420.0,15780.0,21270.0,55500.0,2020,6,55470.0
East North Central,2020-07-01,17484.0,15934.0,20274.0,53754.0,2020,7,53692.0
East South Central,2020-07-01,9207.0,8122.0,12431.0,29760.0,2020,7,29760.0
Middle Atlantic,2020-07-01,14415.0,6417.0,13919.0,35061.0,2020,7,34751.0
Mountain,2020-07-01,9703.0,8122.0,11780.0,29636.0,2020,7,29605.0
New England,2020-07-01,4588.0,1364.0,4588.0,10571.0,2020,7,10540.0
Pacific Contiguous,2020-07-01,14446.0,8029.0,12834.0,35402.0,2020,7,35309.0
Pacific Noncontiguous,2020-07-01,465.0,434.0,372.0,1302.0,2020,7,1271.0
South Atlantic,2020-07-01,30256.0,11997.0,38626.0,80972.0,2020,7,80879.0
West North Central,2020-07-01,9920.0,8122.0,10726.0,28768.0,2020,7,28768.0
West South Central,2020-07-01,19933.0,16244.0,24614.0,60791.0,2020,7,60791.0
East North Central,2020-08-01,17422.0,16864.0,18321.0,52638.0,2020,8,52607.0
East South Central,2020-08-01,9362.0,9641.0,12462.0,31465.0,2020,8,31465.0
Middle Atlantic,2020-08-01,14322.0,6696.0,13144.0,34472.0,2020,8,34162.0
Mountain,2020-08-01,9982.0,8029.0,11718.0,29729.0,2020,8,29729.0
New England,2020-08-01,4681.0,1519.0,4402.0,10664.0,2020,8,10602.0
Pacific Contiguous,2020-08-01,15779.0,8463.0,14973.0,39308.0,2020,8,39215.0
Pacific Noncontiguous,2020-08-01,496.0,434.0,372.0,1302.0,2020,8,1302.0
South Atlantic,2020-08-01,30349.0,12121.0,37541.0,80135.0,2020,8,80011.0
West North Central,2020-08-01,10013.0,8401.0,10447.0,28861.0,2020,8,28861.0
West South Central,2020-08-01,20708.0,16926.0,25885.0,63519.0,2020,8,63519.0
East North Central,2020-09-01,15390.0,15150.0,14520.0,45120.0,2020,9,45060.0
East South Central,2020-09-01,8460.0,7920.0,10590.0,26940.0,2020,9,26970.0
Middle Atlantic,2020-09-01,13350.0,6450.0,11430.0,31530.0,2020,9,31230.0
Mountain,2020-09-01,8760.0,7470.0,9120.0,25350.0,2020,9,25350.0
New England,2020-09-01,4230.0,1320.0,3840.0,9450.0,2020,9,9390.0
Pacific Contiguous,2020-09-01,12270.0,7320.0,10080.0,29760.0,2020,9,29670.0
Pacific Noncontiguous,2020-09-01,450.0,420.0,390.0,1260.0,2020,9,1260.0
South Atlantic,2020-09-01,27750.0,11340.0,30720.0,69960.0,2020,9,69810.0
West North Central,2020-09-01,8670.0,7650.0,8070.0,24390.0,2020,9,24390.0
West South Central,2020-09-01,19080.0,15840.0,22320.0,57270.0,2020,9,57240.0
East North Central,2020-10-01,15345.0,15283.0,12958.0,43617.0,2020,10,43586.0
East South Central,2020-10-01,7843.0,8060.0,8432.0,24335.0,2020,10,24335.0
Middle Atlantic,2020-10-01,12648.0,5890.0,9424.0,28272.0,2020,10,27962.0
Mountain,2020-10-01,8184.0,6913.0,6851.0,21948.0,2020,10,21948.0
New England,2020-10-01,4061.0,1364.0,3286.0,8773.0,2020,10,8711.0
Pacific Contiguous,2020-10-01,14260.0,7626.0,11098.0,33077.0,2020,10,32984.0
Pacific Noncontiguous,2020-10-01,465.0,434.0,403.0,1302.0,2020,10,1302.0
South Atlantic,2020-10-01,25885.0,11408.0,26970.0,64387.0,2020,10,64263.0
West North Central,2020-10-01,8370.0,7626.0,7006.0,23002.0,2020,10,23002.0
West South Central,2020-10-01,18383.0,16058.0,17856.0,52328.0,2020,10,52297.0
East North Central,2020-11-01,13920.0,14610.0,13740.0,42300.0,2020,11,42270.0
East South Central,2020-11-01,6900.0,7590.0,8010.0,22500.0,2020,11,22500.0
Middle Atlantic,2020-11-01,11760.0,5670.0,9390.0,27120.0,2020,11,26820.0
Mountain,2020-11-01,7560.0,6840.0,6810.0,21240.0,2020,11,21210.0
New England,2020-11-01,3840.0,1260.0,3540.0,8700.0,2020,11,8640.0
Pacific Contiguous,2020-11-01,11880.0,6840.0,10800.0,29580.0,2020,11,29520.0
Pacific Noncontiguous,2020-11-01,450.0,420.0,390.0,1260.0,2020,11,1260.0
South Atlantic,2020-11-01,24000.0,10710.0,25500.0,60300.0,2020,11,60210.0
West North Central,2020-11-01,8100.0,7470.0,7620.0,23220.0,2020,11,23190.0
West South Central,2020-11-01,15150.0,14850.0,14040.0,44070.0,2020,11,44040.0
East North Central,2020-12-01,15097.0,14415.0,16895.0,46438.0,2020,12,46407.0
East South Central,2020-12-01,7161.0,7502.0,10416.0,25048.0,2020,12,25079.0
Middle Atlantic,2020-12-01,12524.0,6231.0,11563.0,30659.0,2020,12,30318.0
Mountain,2020-12-01,7905.0,6851.0,8401.0,23157.0,2020,12,23157.0
New England,2020-12-01,3937.0,1302.0,4061.0,9331.0,2020,12,9300.0
Pacific Contiguous,2020-12-01,12803.0,6417.0,13268.0,32581.0,2020,12,32488.0
Pacific Noncontiguous,2020-12-01,465.0,403.0,403.0,1271.0,2020,12,1271.0
