CPI,Year,Month
257.469,2018,5
257.697,2018,6
257.867,2018,7
258.012,2018,8
258.42900000000003,2018,9
259.063,2018,10
259.105,2018,11
259.083,2018,12
260.122,2019,1
261.11400000000003,2019,2
261.836,2019,3
