Year,Month,State,Cus_RES,Cus_COM,Cus_IND,Cus_OTH,Cus_ALL
1990,8,FL,5849276,705021,22933,86500,6663730
1990,9,FL,5849276,705021,22933,86500,6663730
1990,10,FL,5849276,705021,22933,86500,6663730
1990,11,FL,5849276,705021,22933,86500,6663730
1990,12,FL,5849276,705021,22933,86500,6663730
1990,1,GA,2645481,294759,15082,20244,2975566
1990,2,GA,2645481,294759,15082,20244,2975566
1990,3,GA,2645481,294759,15082,20244,2975566
1990,4,GA,2645481,294759,15082,20244,2975566
1990,5,GA,2645481,294759,15082,20244,2975566
1990,6,GA,2645481,294759,15082,20244,2975566
1990,7,GA,2645481,294759,15082,20244,2975566
1990,8,GA,2645481,294759,15082,20244,2975566
1990,9,GA,2645481,294759,15082,20244,2975566
1990,10,GA,2645481,294759,15082,20244,2975566
1990,11,GA,2645481,294759,15082,20244,2975566
1990,12,GA,2645481,294759,15082,20244,2975566
1990,1,HI,316459,47997,705,1537,366698
1990,2,HI,316459,47997,705,1537,366698
1990,3,HI,316459,47997,705,1537,366698
1990,4,HI,316459,47997,705,1537,366698
1990,5,HI,316459,47997,705,1537,366698
1990,6,HI,316459,47997,705,1537,366698
1990,7,HI,316459,47997,705,1537,366698
1990,8,HI,316459,47997,705,1537,366698
1990,9,HI,316459,47997,705,1537,366698
1990,10,HI,316459,47997,705,1537,366698
1990,11,HI,316459,47997,705,1537,366698
1990,12,HI,316459,47997,705,1537,366698
1990,1,IA,1137688,157186,3773,11757,1310404
1990,2,IA,1137688,157186,3773,11757,1310404
1990,3,IA,1137688,157186,3773,11757,1310404
1990,4,IA,1137688,157186,3773,11757,1310404
1990,5,IA,1137688,157186,3773,11757,1310404
1990,6,IA,1137688,157186,3773,11757,1310404
1990,7,IA,1137688,157186,3773,11757,1310404
1990,8,IA,1137688,157186,3773,11757,1310404
1990,9,IA,1137688,157186,3773,11757,1310404
1990,10,IA,1137688,157186,3773,11757,1310404
1990,11,IA,1137688,157186,3773,11757,1310404
1990,12,IA,1137688,157186,3773,11757,1310404
1990,1,ID,401443,69840,4462,3385,479130
1990,2,ID,401443,69840,4462,3385,479130
1990,3,ID,401443,69840,4462,3385,479130
1990,4,ID,401443,69840,4462,3385,479130
1990,5,ID,401443,69840,4462,3385,479130
1990,6,ID,401443,69840,4462,3385,479130
1990,7,ID,401443,69840,4462,3385,479130
1990,8,ID,401443,69840,4462,3385,479130
1990,9,ID,401443,69840,4462,3385,479130
1990,10,ID,401443,69840,4462,3385,479130
1990,11,ID,401443,69840,4462,3385,479130
1990,12,ID,401443,69840,4462,3385,479130
1990,1,IL,4367769,442990,4574,19656,4834989
1990,2,IL,4367769,442990,4574,19656,4834989
1990,3,IL,4367769,442990,4574,19656,4834989
1990,4,IL,4367769,442990,4574,19656,4834989
1990,5,IL,4367769,442990,4574,19656,4834989
1990,6,IL,4367769,442990,4574,19656,4834989
1990,7,IL,4367769,442990,4574,19656,4834989
1990,8,IL,4367769,442990,4574,19656,4834989
1990,9,IL,4367769,442990,4574,19656,4834989
1990,10,IL,4367769,442990,4574,19656,4834989
1990,11,IL,4367769,442990,4574,19656,4834989
1990,12,IL,4367769,442990,4574,19656,4834989
1990,1,IN,2191036,242457,15429,8794,2457716
1990,2,IN,2191036,242457,15429,8794,2457716
1990,3,IN,2191036,242457,15429,8794,2457716
1990,4,IN,2191036,242457,15429,8794,2457716
1990,5,IN,2191036,242457,15429,8794,2457716
1990,6,IN,2191036,242457,15429,8794,2457716
1990,7,IN,2191036,242457,15429,8794,2457716
1990,8,IN,2191036,242457,15429,8794,2457716
1990,9,IN,2191036,242457,15429,8794,2457716
1990,10,IN,2191036,242457,15429,8794,2457716
1990,11,IN,2191036,242457,15429,8794,2457716
1990,12,IN,2191036,242457,15429,8794,2457716
1990,1,KS,1013671,156287,12708,11563,1194229
1990,2,KS,1013671,156287,12708,11563,1194229
1990,3,KS,1013671,156287,12708,11563,1194229
1990,4,KS,1013671,156287,12708,11563,1194229
1990,5,KS,1013671,156287,12708,11563,1194229
1990,6,KS,1013671,156287,12708,11563,1194229
1990,7,KS,1013671,156287,12708,11563,1194229
1990,8,KS,1013671,156287,12708,11563,1194229
1990,9,KS,1013671,156287,12708,11563,1194229
1990,10,KS,1013671,156287,12708,11563,1194229
1990,11,KS,1013671,156287,12708,11563,1194229
1990,12,KS,1013671,156287,12708,11563,1194229
1990,1,KY,1480107,186216,8434,17678,1692435
1990,2,KY,1480107,186216,8434,17678,1692435
1990,3,KY,1480107,186216,8434,17678,1692435
1990,4,KY,1480107,186216,8434,17678,1692435
1990,5,KY,1480107,186216,8434,17678,1692435
1990,6,KY,1480107,186216,8434,17678,1692435
1990,7,KY,1480107,186216,8434,17678,1692435
1990,8,KY,1480107,186216,8434,17678,1692435
1990,9,KY,1480107,186216,8434,17678,1692435
1990,10,KY,1480107,186216,8434,17678,1692435
1990,11,KY,1480107,186216,8434,17678,1692435
1990,12,KY,1480107,186216,8434,17678,1692435
1990,1,LA,1624920,188720,14488,19155,1847283
1990,2,LA,1624920,188720,14488,19155,1847283
1990,3,LA,1624920,188720,14488,19155,1847283
1990,4,LA,1624920,188720,14488,19155,1847283
1990,5,LA,1624920,188720,14488,19155,1847283
1990,6,LA,1624920,188720,14488,19155,1847283
1990,7,LA,1624920,188720,14488,19155,1847283
1990,8,LA,1624920,188720,14488,19155,1847283
1990,9,LA,1624920,188720,14488,19155,1847283
1990,10,LA,1624920,188720,14488,19155,1847283
1990,11,LA,1624920,188720,14488,19155,1847283
1990,12,LA,1624920,188720,14488,19155,1847283
1990,1,MA,2319946,287198,13880,14333,2635357
1990,2,MA,2319946,287198,13880,14333,2635357
1990,3,MA,2319946,287198,13880,14333,2635357
1990,4,MA,2319946,287198,13880,14333,2635357
1990,5,MA,2319946,287198,13880,14333,2635357
1990,6,MA,2319946,287198,13880,14333,2635357
1990,7,MA,2319946,287198,13880,14333,2635357
1990,8,MA,2319946,287198,13880,14333,2635357
1990,9,MA,2319946,287198,13880,14333,2635357
1990,10,MA,2319946,287198,13880,14333,2635357
1990,11,MA,2319946,287198,13880,14333,2635357
1990,12,MA,2319946,287198,13880,14333,2635357
1990,1,MD,1731972,182923,10648,1182,1926725
1990,2,MD,1731972,182923,10648,1182,1926725
1990,3,MD,1731972,182923,10648,1182,1926725
1990,4,MD,1731972,182923,10648,1182,1926725
1990,5,MD,1731972,182923,10648,1182,1926725
1990,6,MD,1731972,182923,10648,1182,1926725
1990,7,MD,1731972,182923,10648,1182,1926725
1990,8,MD,1731972,182923,10648,1182,1926725
1990,9,MD,1731972,182923,10648,1182,1926725
1990,10,MD,1731972,182923,10648,1182,1926725
1990,11,MD,1731972,182923,10648,1182,1926725
1990,12,MD,1731972,182923,10648,1182,1926725
1990,1,ME,568073,67236,2845,18854,657008
1990,2,ME,568073,67236,2845,18854,657008
1990,3,ME,568073,67236,2845,18854,657008
1990,4,ME,568073,67236,2845,18854,657008
1990,5,ME,568073,67236,2845,18854,657008
1990,6,ME,568073,67236,2845,18854,657008
1990,7,ME,568073,67236,2845,18854,657008
