Year	Month	State	Sale_RES	Sale_COM	Sale_IND	Sale_OTH	Sale_ALL
1990	2	SC	1364.6	845.6	1943.78	57.26	4211.24
1990	2	SD	276.49	112.46	124.45	28.58	541.98
1990	2	TN	2435.57	923.39	2744.71	78.14	6181.82
1990	2	TX	5239	4325.04	6567.51	566.71	16698.26
1990	2	UT	373.92	349.06	440.08	65.64	1228.69
1990	2	VA	2208.63	1482.96	1345.65	608.17	5645.42
1990	2	VT	172.19	127.13	117.15	4.09	420.57
1990	2	WA	3374.31	1639.41	3230.51	353.19	8597.42
1990	2	WI	1407.54	979.38	1465.12	60.31	3912.34
1990	2	WV	709.68	413.26	880.9	8.48	2012.33
1990	2	WY	178.35	185.05	624.79	6.11	994.29
1990	3	AK	161.48	170.43	37.46	12.81	382.19
1990	3	AL	1405.67	799.72	2250.05	53.22	4508.67
1990	3	AR	716.13	422.96	774.53	47.98	1961.6
1990	3	AZ	1095.41	989.11	801.16	176.36	3062.06
1990	3	CA	5387.51	6081.83	4461.01	771.12	16701.47
1990	3	CO	896.25	1085.21	527.83	54.97	2564.27
1990	3	CT	943.44	726.69	503.69	32.71	2206.53
1990	3	DC	120.96	396.2	227.04	25.38	769.58
1990	3	DE	223.6	187.82	279.19	4.17	694.78
1990	3	FL	4463.38	3823.23	1370.1	336.08	9992.8
1990	3	GA	1976.13	1692.83	2167.1	66.72	5902.78
1990	3	HI	204.6	174.7	297.37	4.87	681.54
1990	3	IA	846.93	534.05	888.19	65.93	2335.1
1990	3	ID	550.23	272.46	571.55	4.33	1398.57
1990	3	IL	2698.45	2561.38	3099.79	675	9034.62
1990	3	IN	1820.54	1222.88	2896.57	53.52	5993.52
1990	3	KS	641	655.6	636.08	26.88	1959.57
1990	3	KY	1306.76	708.47	3004.19	197.78	5217.2
1990	3	LA	1226.49	957.31	1994.72	215.19	4393.71
1990	3	MA	1432.84	1560.52	830.09	89.73	3913.18
1990	3	MD	1605.26	824.21	1558.96	56.02	4044.46
1990	3	ME	380.85	229.15	379.69	14.38	1004.06
1990	3	MI	2125.54	1689.84	2859.54	113.41	6788.33
1990	3	MN	1245.38	644.55	1857.55	54.18	3801.66
1990	3	MO	1648.38	1417.15	1092.85	69.3	4227.69
1990	3	MS	783.22	460.41	971.42	50.98	2266.03
1990	3	MT	281.9	212.66	523.79	40.85	1059.2
1990	3	NC	2591.24	1791.39	2469.16	127.32	6979.12
1990	3	ND	285.91	154.08	141.46	36.76	618.2
1990	3	NE	510.28	381.84	363.23	85.37	1340.72
1990	3	NH	325.44	170.38	278.03	8.47	782.31
1990	3	NJ	1602.59	2171.48	1258.14	41.32	5073.54
1990	3	NM	294.21	336.56	369.94	102.03	1102.73
1990	3	NV	389.09	266.08	462.02	42.55	1159.74
1990	3	NY	3311.68	3838.2	2618.11	1027.17	10795.17
1990	3	OH	3181	2516.77	6023.33	373.31	12094.4
1990	3	OK	1112.3	813.22	939.57	159.71	3024.79
1990	3	OR	1482.36	949.66	1266.51	48.34	3746.87
1990	3	PA	3506.39	2450.26	3807.58	119.7	9883.92
1990	3	RI	209.75	204.55	112.54	16.78	543.61
1990	3	SC	1321.2	838.93	1993.2	56.02	4209.35
1990	3	SD	253.59	109.92	126.46	24.94	514.92
1990	3	TN	2214	884.67	2777.82	76.96	5953.45
1990	3	TX	4811.41	4297.89	6415.82	549.6	16074.72
1990	3	UT	365.23	349.9	454.64	74.49	1244.26
1990	3	VA	2365.39	1629.9	1392.57	659.56	6047.42
1990	3	VT	176.19	128.05	119.94	3.9	428.09
1990	3	WA	3177.7	1569.36	3406.06	323.95	8477.07
1990	3	WI	1379.65	1028.39	1655.86	56.23	4120.14
1990	3	WV	682.86	412.07	882.32	8.14	1985.38
1990	3	WY	163.98	185.03	646.14	6.96	1002.1
1990	4	AK	130.37	154.7	44.68	14.23	343.97
1990	4	AL	1289.66	805.48	2246.2	52.5	4393.84
