Income,Year,Month,State
109325.1,1989,5,GA
23242.7,1989,5,HI
46491.1,1989,5,IA
15183.5,1989,5,ID
227861.5,1989,5,IL
93246.5,1989,5,IN
43094.8,1989,5,KS
54403.2,1989,5,KY
60522.8,1989,5,LA
135558.4,1989,5,MA
105039.3,1989,5,MD
20963.5,1989,5,ME
170220.1,1989,5,MI
82787.2,1989,5,MN
88502.3,1989,5,MO
32856.8,1989,5,MS
11807.4,1989,5,MT
0.9,1989,5,NC
9496.5,1989,5,ND
27378.5,1989,5,NE
22925.0,1989,5,NH
184044.4,1989,5,NJ
21935.4,1989,5,NM
22564.2,1989,5,NV
409548.5,1989,5,NY
192378.5,1989,5,OH
48694.0,1989,5,OK
48369.7,1989,5,OR
221204.2,1989,5,PA
19928.7,1989,5,RI
52264.3,1989,5,SC
10521.0,1989,5,SD
77306.7,1989,5,TN
277266.2,1989,5,TX
24078.4,1989,5,UT
123903.4,1989,5,VA
9905.3,1989,5,VT
91038.8,1989,5,WA
85823.4,1989,5,WI
24570.9,1989,5,WV
7692.6,1989,5,WY
12496.6,1989,6,AK
60636.1,1989,6,AL
32901.7,1989,6,AR
61215.4,1989,6,AZ
600562.8,1989,6,CA
62451.0,1989,6,CO
85074.8,1989,6,CT
15188.0,1989,6,DC
13748.0,1989,6,DE
243460.5,1989,6,FL
109325.1,1989,6,GA
23242.7,1989,6,HI
46491.1,1989,6,IA
15183.5,1989,6,ID
227861.5,1989,6,IL
93246.5,1989,6,IN
43094.8,1989,6,KS
54403.2,1989,6,KY
60522.8,1989,6,LA
135558.4,1989,6,MA
105039.3,1989,6,MD
20963.5,1989,6,ME
170220.1,1989,6,MI
82787.2,1989,6,MN
88502.3,1989,6,MO
32856.8,1989,6,MS
11807.4,1989,6,MT
0.9,1989,6,NC
9496.5,1989,6,ND
27378.5,1989,6,NE
22925.0,1989,6,NH
184044.4,1989,6,NJ
21935.4,1989,6,NM
22564.2,1989,6,NV
409548.5,1989,6,NY
192378.5,1989,6,OH
48694.0,1989,6,OK
48369.7,1989,6,OR
221204.2,1989,6,PA
19928.7,1989,6,RI
52264.3,1989,6,SC
10521.0,1989,6,SD
77306.7,1989,6,TN
277266.2,1989,6,TX
24078.4,1989,6,UT
123903.4,1989,6,VA
9905.3,1989,6,VT
91038.8,1989,6,WA
85823.4,1989,6,WI
24570.9,1989,6,WV
7692.6,1989,6,WY
12297.0,1989,7,AK
61693.9,1989,7,AL
33436.1,1989,7,AR
62130.0,1989,7,AZ
617309.9,1989,7,CA
62935.0,1989,7,CO
85771.7,1989,7,CT
15396.4,1989,7,DC
13993.4,1989,7,DE
248370.6,1989,7,FL
111076.8,1989,7,GA
24160.2,1989,7,HI
47477.8,1989,7,IA
15520.3,1989,7,ID
231210.6,1989,7,IL
94449.2,1989,7,IN
43741.0,1989,7,KS
55491.2,1989,7,KY
61621.9,1989,7,LA
136437.9,1989,7,MA
106535.8,1989,7,MD
21291.4,1989,7,ME
172440.8,1989,7,MI
84378.1,1989,7,MN
89358.9,1989,7,MO
33305.8,1989,7,MS
11994.9,1989,7,MT
1.17,1989,7,NC
9623.9,1989,7,ND
27806.4,1989,7,NE
23029.7,1989,7,NH
185622.8,1989,7,NJ
22258.2,1989,7,NM
23380.5,1989,7,NV
412540.9,1989,7,NY
194867.4,1989,7,OH
49331.7,1989,7,OK
49420.6,1989,7,OR
224366.2,1989,7,PA
20146.4,1989,7,RI
54021.1,1989,7,SC
10722.9,1989,7,SD
78397.3,1989,7,TN
281985.1,1989,7,TX
24579.8,1989,7,UT
125941.8,1989,7,VA
10115.0,1989,7,VT
92669.7,1989,7,WA
87245.9,1989,7,WI
24981.5,1989,7,WV
7842.6,1989,7,WY
12297.0,1989,8,AK
61693.9,1989,8,AL
33436.1,1989,8,AR
62130.0,1989,8,AZ
617309.9,1989,8,CA
62935.0,1989,8,CO
85771.7,1989,8,CT
15396.4,1989,8,DC
13993.4,1989,8,DE
248370.6,1989,8,FL
111076.8,1989,8,GA
24160.2,1989,8,HI
47477.8,1989,8,IA
15520.3,1989,8,ID
231210.6,1989,8,IL
94449.2,1989,8,IN
43741.0,1989,8,KS
55491.2,1989,8,KY
61621.9,1989,8,LA
136437.9,1989,8,MA
106535.8,1989,8,MD
21291.4,1989,8,ME
172440.8,1989,8,MI
84378.1,1989,8,MN
89358.9,1989,8,MO
33305.8,1989,8,MS
11994.9,1989,8,MT
1.17,1989,8,NC
9623.9,1989,8,ND
27806.4,1989,8,NE
23029.7,1989,8,NH
185622.8,1989,8,NJ
22258.2,1989,8,NM
23380.5,1989,8,NV
412540.9,1989,8,NY
194867.4,1989,8,OH
49331.7,1989,8,OK
49420.6,1989,8,OR
224366.2,1989,8,PA
20146.4,1989,8,RI
54021.1,1989,8,SC
10722.9,1989,8,SD
78397.3,1989,8,TN
281985.1,1989,8,TX
24579.8,1989,8,UT
125941.8,1989,8,VA
10115.0,1989,8,VT
92669.7,1989,8,WA
87245.9,1989,8,WI
24981.5,1989,8,WV
7842.6,1989,8,WY
12297.0,1989,9,AK
61693.9,1989,9,AL
33436.1,1989,9,AR
62130.0,1989,9,AZ
617309.9,1989,9,CA
62935.0,1989,9,CO
85771.7,1989,9,CT
15396.4,1989,9,DC
13993.4,1989,9,DE
