Year,Month,State,RES,COM,IND,TRA,OTH,ALL
1990,7,CT,"1,301,859","125,530","4,734",,"4,704","1,436,827"
1990,8,CT,"1,301,859","125,530","4,734",,"4,704","1,436,827"
1990,9,CT,"1,301,859","125,530","4,734",,"4,704","1,436,827"
1990,10,CT,"1,301,859","125,530","4,734",,"4,704","1,436,827"
1990,11,CT,"1,301,859","125,530","4,734",,"4,704","1,436,827"
1990,12,CT,"1,301,859","125,530","4,734",,"4,704","1,436,827"
1990,1,DC,"191,969","26,537",164,,36,"218,706"
1990,2,DC,"191,969","26,537",164,,36,"218,706"
1990,3,DC,"191,969","26,537",164,,36,"218,706"
1990,4,DC,"191,969","26,537",164,,36,"218,706"
1990,5,DC,"191,969","26,537",164,,36,"218,706"
1990,6,DC,"191,969","26,537",164,,36,"218,706"
1990,7,DC,"191,969","26,537",164,,36,"218,706"
1990,8,DC,"191,969","26,537",164,,36,"218,706"
1990,9,DC,"191,969","26,537",164,,36,"218,706"
1990,10,DC,"191,969","26,537",164,,36,"218,706"
1990,11,DC,"191,969","26,537",164,,36,"218,706"
1990,12,DC,"191,969","26,537",164,,36,"218,706"
1990,1,DE,"282,827","30,883",618,,756,"315,084"
1990,2,DE,"282,827","30,883",618,,756,"315,084"
1990,3,DE,"282,827","30,883",618,,756,"315,084"
1990,4,DE,"282,827","30,883",618,,756,"315,084"
1990,5,DE,"282,827","30,883",618,,756,"315,084"
1990,6,DE,"282,827","30,883",618,,756,"315,084"
1990,7,DE,"282,827","30,883",618,,756,"315,084"
1990,8,DE,"282,827","30,883",618,,756,"315,084"
1990,9,DE,"282,827","30,883",618,,756,"315,084"
1990,10,DE,"282,827","30,883",618,,756,"315,084"
1990,11,DE,"282,827","30,883",618,,756,"315,084"
1990,12,DE,"282,827","30,883",618,,756,"315,084"
1990,1,FL,"5,849,276","705,021","22,933",,"86,500","6,663,730"
1990,2,FL,"5,849,276","705,021","22,933",,"86,500","6,663,730"
1990,3,FL,"5,849,276","705,021","22,933",,"86,500","6,663,730"
1990,4,FL,"5,849,276","705,021","22,933",,"86,500","6,663,730"
1990,5,FL,"5,849,276","705,021","22,933",,"86,500","6,663,730"
1990,6,FL,"5,849,276","705,021","22,933",,"86,500","6,663,730"
1990,7,FL,"5,849,276","705,021","22,933",,"86,500","6,663,730"
1990,8,FL,"5,849,276","705,021","22,933",,"86,500","6,663,730"
1990,9,FL,"5,849,276","705,021","22,933",,"86,500","6,663,730"
1990,10,FL,"5,849,276","705,021","22,933",,"86,500","6,663,730"
