Year	Month	State	Rev_RES	Rev_COM	Rev_IND	Rev_OTH	Rev_ALL
1991	4	AZ	91.2	77.08	44.24	7.65	220.16
1991	4	CA	543.75	553.62	288.22	31.47	1417.06
1991	4	CO	55.84	58.29	22.92	3.9	140.95
1991	4	CT	83.22	74.74	35.77	3.93	197.66
1991	4	DC	5.73	21.39	10.26	1.52	38.9
1991	4	DE	17.32	12.65	11.8	0.46	42.23
1991	4	FL	396.64	275.27	71.04	24.85	767.79
1991	4	GA	132.57	127.94	101.17	6.26	367.94
1991	4	HI	20.88	18.85	23.73	0.46	63.92
1991	4	IA	58.49	30.66	35.65	3.83	128.63
1991	4	ID	22.11	14.44	13.5	0.53	50.57
1991	4	IL	239.51	192.26	171.02	42.73	645.52
1991	4	IN	111.24	71.39	112.96	4.23	299.82
1991	4	KS	46.42	45.39	31.7	2.33	125.84
1991	4	KY	64.92	37.76	92.24	9.33	204.24
1991	4	LA	96.33	73.23	87.28	12.97	269.81
1991	4	MA	123.17	123.39	63.99	10.52	321.07
1991	4	MD	95.85	47.6	70.93	4.63	219.01
1991	4	ME	32.9	17.16	23.54	1.68	75.28
1991	4	MI	157.46	136.96	165.25	9.54	469.22
1991	4	MN	77.11	36.49	79.38	3.81	196.79
1991	4	MO	102.12	81.72	46.77	4.78	235.38
1991	4	MS	53.47	36.01	45.68	3.91	139.07
1991	4	MT	14.1	10.44	15.01	1.81	41.36
1991	4	NC	182.71	115.68	112.78	8.9	420.07
1991	4	ND	14.88	9.3	6.87	1.37	32.41
1991	4	NE	27.22	20.31	14.96	5.35	67.83
1991	4	NH	26.85	14.08	17.29	1.06	59.29
1991	4	NJ	149.57	191.03	89.69	6.57	436.86
1991	4	NM	24.98	27.75	17.69	6	76.42
1991	4	NV	23.16	18.77	21.32	1.76	65.01
1991	4	NY	349.65	367.34	138.72	73.57	929.28
1991	4	OH	233.8	181.92	226.38	21.94	664.03
1991	4	OK	65.2	43.32	35.72	8.85	153.1
1991	4	OR	67.34	46.76	40.15	3	157.24
1991	4	PA	284.49	191.95	227.69	13.52	717.65
1991	4	RI	19.69	17.36	9.34	1.6	47.99
1991	4	SC	87.73	55.07	82.63	3.56	229
1991	4	SD	16.1	7.18	6.1	1.07	30.45
1991	4	TN	108.39	54.58	128.57	6.52	298.05
1991	4	TX	347.9	287.38	280.88	56.52	972.68
1991	4	UT	25	23.09	16.07	2.69	66.85
1991	4	VA	142.44	94.43	53.14	33.17	323.18
1991	4	VT	11.38	8.6	7.01	0.46	27.45
1991	4	WA	118.34	62.7	81.66	10.55	273.24
1991	4	WI	86.67	58.25	64.69	3.71	213.32
1991	4	WV	33.64	20.43	28.74	0.66	83.47
1991	4	WY	9.04	9.58	20.09	0.52	39.22
1991	5	AK	13.06	14.97	3.37	1.86	33.26
1991	5	AL	99.07	66.86	107.86	3.06	276.84
1991	5	AR	54.97	33.73	40.38	3.53	132.61
1991	5	AZ	91.3	89.14	48.74	10.25	239.43
1991	5	CA	500.5	610.97	343.75	33.55	1488.77
1991	5	CO	55.67	63.74	25.38	3.99	148.78
1991	5	CT	76.03	79.11	37.9	4.01	197.06
1991	5	DC	5.14	22.44	11.44	1.51	40.52
1991	5	DE	15.34	12.69	12.91	0.46	41.4
1991	5	FL	479.98	300.18	75.5	26.89	882.54
1991	5	GA	165.58	145.76	117.64	6.59	435.56
1991	5	HI	18.95	18.94	22.76	0.54	61.2
1991	5	IA	64.26	37.46	40.96	4.18	146.86
