cols,imp
Cus_COM,0.26306339828107456
Cooling_deg_days,0.019788206349311326
Pop,0.5281218726646654
Income,0.037508431558904196
GSP,0.1429626890738702
Density,0.007849942037223816
State_CA,0.0007054600349506408
